route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
X14,CA_S6-Weekday,CA_S6-Weekday-031500_MISC_430,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-037500_MISC_402,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-041500_MISC_480,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-043500_MISC_489,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-100000_MISC_485,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X14,CA_S6-Weekday,CA_S6-Weekday-096000_MISC_471,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X14,CA_S6-Weekday,CA_S6-Weekday-102000_MISC_481,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X14,CA_S6-Weekday,CA_S6-Weekday-033500_MISC_441,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-108500_MISC_580,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X14,CA_S6-Weekday,CA_S6-Weekday-047500_MISC_496,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-104000_MISC_499,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X14,CA_S6-Weekday,CA_S6-Weekday-035500_MISC_401,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-094000_MISC_476,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X14,CA_S6-Weekday,CA_S6-Weekday-098000_MISC_486,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X14,CA_S6-Weekday,CA_S6-Weekday-050500_MISC_423,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-039500_MISC_469,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-045500_MISC_491,W.MIDTOWN 57 ST via WATER ST via MADISON,0,X140122
X14,CA_S6-Weekday,CA_S6-Weekday-092000_MISC_473,PT RICHMOND via NARROWS RD via CLOVE RD,1,X140123
X11,CA_S6-Weekday,CA_S6-Weekday-050500_MISC_497,DOWNTOWN WORTH ST,0,X110049
X10,CA_S6-Weekday,CA_S6-Weekday-030000_MISC_423,E MIDTOWN 57 ST via CHURCH via MADISON,0,X100230
X10,CA_S6-Weekday,CA_S6-Weekday-032400_MISC_435,E MIDTOWN 57 ST via CHURCH via MADISON,0,X100230
X10,CA_S6-Weekday,CA_S6-Weekday-043000_MISC_442,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X10,CA_S6-Weekday,CA_S6-Weekday-034400_MISC_442,E MIDTOWN 57 ST via CHURCH via MADISON,0,X100230
X10,CA_S6-Weekday,CA_S6-Weekday-046000_X1011_301,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X11,CA_S6-Weekday,CA_S6-Weekday-037500_MISC_452,DOWNTOWN WORTH ST,0,X110049
X10B,CA_S6-Weekday,CA_S6-Weekday-049500_MISC_452,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10B,CA_S6-Weekday,CA_S6-Weekday-036300_X1011_301,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10,CA_S6-Weekday,CA_S6-Weekday-048000_MISC_404,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X11,CA_S6-Weekday,CA_S6-Weekday-039500_X1011_302,DOWNTOWN WORTH ST,0,X110049
X10,CA_S6-Weekday,CA_S6-Weekday-051500_X1011_302,E MIDTOWN 57 ST via CHURCH via MADISON,0,X100230
X10B,CA_S6-Weekday,CA_S6-Weekday-038400_MISC_404,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10,CA_S6-Weekday,CA_S6-Weekday-051000_X1011_303,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X11,CA_S6-Weekday,CA_S6-Weekday-041500_MISC_474,DOWNTOWN WORTH ST,0,X110049
X10B,CA_S6-Weekday,CA_S6-Weekday-039900_X1011_303,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10,CA_S6-Weekday,CA_S6-Weekday-053800_MISC_478,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X11,CA_S6-Weekday,CA_S6-Weekday-043500_MISC_414,DOWNTOWN WORTH ST,0,X110049
X10,CA_S6-Weekday,CA_S6-Weekday-057000_MISC_414,E MIDTOWN 57 ST via CHURCH via MADISON,0,X100229
X10B,CA_S6-Weekday,CA_S6-Weekday-041400_MISC_478,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10,CA_S6-Weekday,CA_S6-Weekday-056500_X1011_304,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X11,CA_S6-Weekday,CA_S6-Weekday-045000_X1011_305,DOWNTOWN WORTH ST,0,X110049
X10B,CA_S6-Weekday,CA_S6-Weekday-043500_X1011_304,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10B,CA_S6-Weekday,CA_S6-Weekday-045500_X1011_306,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10,CA_S6-Weekday,CA_S6-Weekday-059400_X1011_306,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X10B,CA_S6-Weekday,CA_S6-Weekday-047500_X1011_307,E MIDTOWN 57 ST via WEST ST via MADISON,0,X10B0011
X10,CA_S6-Weekday,CA_S6-Weekday-053000_MISC_410,E MIDTOWN 57 ST via CHURCH via MADISON,0,X100230
X10,CA_S6-Weekday,CA_S6-Weekday-065000_MISC_410,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X10,CA_S6-Weekday,CA_S6-Weekday-062000_MISC_412,PT RICHMOND via NARROWS RD via GANNON AV,1,X100224
X10,CA_S6-Weekday,CA_S6-Weekday-059000_MISC_447,E MIDTOWN 57 ST via CHURCH via MADISON,0,X100229
